Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,laisse,leash
13,chaque,each
14,parlé,speak
15,arrivé,come
16,devrait,should
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,vont,will
21,pendant,while
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,affaire,case
32,type,type
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,premier,first
42,perdu,lost
43,main,hand
44,première,first
45,côté,side
46,pouvoir,power
47,vieux,old
48,sois,be
49,tiens,here
50,matin,morning
51,enfant,child
52,point,point
53,suite,after
54,pardon,sorry
55,venez,come
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aujourd'hui,today
65,cause,cause
66,enfin,finally
67,espère,hope
68,eau,water
69,attendez,Wait
70,parti,left
71,nouvelle,new
72,boulot,job
73,arrêter,Stop
74,dirait,would say
75,terre,Earth
77,loin,far
78,fin,end
79,croire,believe
80,chérie,sweetheart
81,gros,large
82,aura,will have
83,filles,girls
84,bureau,office
